"id","kategori","full_text_search","lon","lat","bbox"
,bts,"1017;17807;Jabotabek-JKP780-F3-MAC1;GDGHALLPRJMZ1;Jabotabek-JKP780-F3-MAC1-7;JKP780;Jabotabek-JKP780;PADEMANGAN TIMUR;PADEMANGAN;KOTA JAKARTA UTARA;DKI JAKARTA;Jabotabek;HUAWEI",106.8466,-6.1457,""
,bts,"1017;17808;Jabotabek-JKP780-F3-MAC1;GDGHALLPRJMZ2;Jabotabek-JKP780-F3-MAC1-8;JKP780;Jabotabek-JKP780;PADEMANGAN TIMUR;PADEMANGAN;KOTA JAKARTA UTARA;DKI JAKARTA;Jabotabek;HUAWEI",106.8466,-6.1457,""
,bts,"1017;17809;Jabotabek-JKP780-F3-MAC1;GDGHALLPRJMZ3;Jabotabek-JKP780-F3-MAC1-9;JKP780;Jabotabek-JKP780;PADEMANGAN TIMUR;PADEMANGAN;KOTA JAKARTA UTARA;DKI JAKARTA;Jabotabek;HUAWEI",106.8466,-6.1457,""
,bts,"1017;20061;Jabotabek-JKU006-F1F2-SIX1;GUNUNGSARA6SECMW7;Jabotabek-JKU006-F1-SIX1-1;JKU006;Jabotabek-JKU006;GUNUNG SAHARI UTARA;SAWAH BESAR;KOTA JAKARTA PUSAT;DKI JAKARTA;Jabotabek;HUAWEI",106.83627,-6.14464,""
,bts,"1017;20062;Jabotabek-JKU006-F1F2-SIX1;GUNUNGSARA6SECMW8;Jabotabek-JKU006-F1-SIX1-2;JKU006;Jabotabek-JKU006;GUNUNG SAHARI UTARA;SAWAH BESAR;KOTA JAKARTA PUSAT;DKI JAKARTA;Jabotabek;HUAWEI",106.83627,-6.14464,""
,bts,"1017;20063;Jabotabek-JKU006-F1F2-SIX1;GUNUNGSARA6SECMW9;Jabotabek-JKU006-F1-SIX1-3;JKU006;Jabotabek-JKU006;GUNUNG SAHARI UTARA;SAWAH BESAR;KOTA JAKARTA PUSAT;DKI JAKARTA;Jabotabek;HUAWEI",106.83627,-6.14464,""
,bts,"1017;20064;Jabotabek-JKU006-F1F2-SIX1;GUNUNGSARA6SECMX10;Jabotabek-JKU006-F2-SIX1-4;JKU006;Jabotabek-JKU006;GUNUNG SAHARI UTARA;SAWAH BESAR;KOTA JAKARTA PUSAT;DKI JAKARTA;Jabotabek;HUAWEI",106.83627,-6.14464,""
,bts,"1017;20065;Jabotabek-JKU006-F1F2-SIX1;GUNUNGSARA6SECMX11;Jabotabek-JKU006-F2-SIX1-5;JKU006;Jabotabek-JKU006;GUNUNG SAHARI UTARA;SAWAH BESAR;KOTA JAKARTA PUSAT;DKI JAKARTA;Jabotabek;HUAWEI",106.83627,-6.14464,""
,bts,"1017;20066;Jabotabek-JKU006-F1F2-SIX1;GUNUNGSARA6SECMX12;Jabotabek-JKU006-F2-SIX1-6;JKU006;Jabotabek-JKU006;GUNUNG SAHARI UTARA;SAWAH BESAR;KOTA JAKARTA PUSAT;DKI JAKARTA;Jabotabek;HUAWEI",106.83627,-6.14464,""
,bts,"1017;20067;Jabotabek-JKU006-F3-MAC1;GUNUNGSARAMZ4;Jabotabek-JKU006-F3-MAC1-10;JKU006;Jabotabek-JKU006;GUNUNG SAHARI UTARA;SAWAH BESAR;KOTA JAKARTA PUSAT;DKI JAKARTA;Jabotabek;HUAWEI",106.83627,-6.14464,""
